1620590340,57279.570000,57266.970000,57250.000000,57311.370000,61.1,1186
1620590400,57266.970000,57351.750000,57179.180000,57361.820000,72.5,1763
1620590460,57351.760000,57451.030000,57351.760000,57500.000000,57.0,1741
1620590520,57451.020000,57483.430000,57396.720000,57498.630000,64.6,1162
1620590580,57482.740000,57530.600000,57470.000000,57550.000000,43.0,1409
1620590640,57530.600000,57540.980000,57491.240000,57589.790000,39.3,1370
1620590700,57540.980000,57591.860000,57538.060000,57591.860000,25.8,971
1620590760,57591.860000,57633.500000,57591.590000,57637.200000,39.9,1222
1620590820,57633.500000,57586.950000,57546.890000,57650.720000,31.3,1058
1620590880,57585.890000,57590.710000,57554.230000,57630.030000,60.3,1315
1620590940,57590.700000,57639.960000,57517.390000,57644.230000,48.4,1146
1620591000,57639.960000,57642.910000,57562.510000,57649.990000,36.5,1079
1620591060,57642.920000,57609.850000,57600.000000,57818.240000,115.2,2368
1620591120,57609.850000,57811.930000,57590.710000,57825.000000,93.9,1838
1620591180,57811.920000,57806.270000,57714.280000,57900.000000,154.6,4121
1620591240,57805.830000,57860.180000,57797.000000,57999.000000,99.4,2736
1620591300,57860.180000,57853.890000,57767.680000,57880.000000,58.7,1782
1620591360,57853.890000,57791.580000,57741.240000,57856.150000,21.7,959
1620591420,57791.570000,57754.650000,57722.840000,57793.740000,23.4,782
1620591480,57754.640000,57778.010000,57722.250000,57783.430000,69.1,820
1620591540,57778.010000,57745.470000,57700.620000,57778.010000,75.5,1252
1620591600,57745.460000,57730.020000,57728.750000,57800.000000,26.7,856
1620591660,57730.010000,57685.010000,57672.160000,57741.370000,51.8,1353
1620591720,57685.010000,57682.820000,57655.450000,57699.850000,37.9,925
1620591780,57682.820000,57663.490000,57636.490000,57690.060000,29.9,763
1620591840,57663.480000,57740.350000,57663.480000,57742.900000,51.8,1117
1620591900,57740.350000,57685.450000,57652.000000,57740.350000,40.3,939
1620591960,57685.450000,57688.210000,57648.450000,57699.920000,35.0,1056
1620592020,57688.220000,57635.400000,57632.430000,57688.220000,27.7,932
1620592080,57635.400000,57671.490000,57627.970000,57687.100000,59.8,996
1620592140,57671.490000,57636.870000,57628.030000,57864.810000,81.5,1247
1620592200,57633.910000,57604.990000,57604.990000,57663.200000,18.6,817
1620592260,57604.990000,57623.420000,57589.010000,57650.000000,18.8,908
1620592320,57623.420000,57673.220000,57623.420000,57698.280000,29.8,883
1620592380,57673.220000,57628.600000,57628.600000,57673.220000,14.7,743
1620592440,57628.610000,57608.740000,57608.730000,57649.600000,18.5,666
1620592500,57608.740000,57615.630000,57602.860000,57633.780000,37.7,1033
1620592560,57618.520000,57645.060000,57618.130000,57700.000000,53.8,1085
1620592620,57645.050000,57719.370000,57642.170000,57750.260000,30.4,1075
1620592680,57719.370000,57812.820000,57719.370000,57822.310000,49.7,1130
1620592740,57812.820000,57871.050000,57812.820000,57939.180000,74.2,1793
1620592800,57873.110000,57842.740000,57820.800000,57884.130000,36.3,1052
1620592860,57845.320000,57904.780000,57816.330000,57912.990000,48.1,1107
1620592920,57904.770000,57847.160000,57800.770000,57904.780000,40.9,1159
1620592980,57844.830000,57786.950000,57756.730000,57851.190000,37.1,1277
1620593040,57786.950000,57772.130000,57739.620000,57822.070000,26.0,838
1620593100,57772.140000,57798.340000,57739.000000,57839.470000,37.3,1076
1620593160,57798.340000,57763.990000,57754.910000,57806.720000,24.5,830
1620593220,57763.980000,57754.310000,57742.900000,57780.570000,30.4,872
1620593280,57754.310000,57788.680000,57740.640000,57798.580000,24.5,726
1620593340,57788.680000,57778.280000,57776.450000,57792.940000,9.6,640
1620593400,57778.290000,57757.090000,57755.010000,57791.530000,33.0,846
1620593460,57757.070000,57764.690000,57750.670000,57791.460000,34.3,709
1620593520,57764.690000,57770.710000,57750.310000,57772.970000,10.3,534
1620593580,57770.710000,57768.470000,57761.730000,57790.760000,14.7,622
1620593640,57768.470000,57761.680000,57756.250000,57783.330000,15.4,605
1620593700,57766.810000,57769.600000,57750.970000,57772.100000,11.3,493
1620593760,57769.590000,57848.720000,57759.510000,57900.000000,97.0,1683
1620593820,57848.720000,57846.470000,57802.800000,57900.000000,45.4,1322
1620593880,57846.470000,57809.270000,57794.700000,57859.410000,40.7,1679
